SITE_ID,IGBP,GRP_LOCATION.LOCATION_LAT,GRP_LOCATION.LOCATION_LONG,GRP_LOCATION.LOCATION_ELEV,GRP_CLIM_AVG.MAT,GRP_CLIM_AVG.MAP,GRP_CLIM_AVG.CLIMATE_KOEPPEN,UTC_OFFSET,data_year_length,SC_source,NEE_source,FC,FC_F,SC,SC_F,NEE,NEE_F,LE,LE_F,H,H_F,USTAR,USTAR_F,NETRAD,NETRAD_F,TA,TA_F,VPD,VPD_F,WS,WS_F,SWC,SWC_F,SW_IN,SW_IN_F
US-LL1,SAV,31.2792,-84.5329,165,20,1310,Cfa,-5,9,SC,FC+SC,0.528822690540326,1,0.958339407383933,1,0.528822690540326,1,0.541226430042782,1,0.541226430042782,1,0.96410077642212,1,0,0,0.972498811598796,1,0.999588020915861,1,0.98963714149897,1,0.993034384408176,1,0,0
US-LL2,SAV,31.201,-84.4449,155,20,1310,Cfa,-5,9,SC,FC+SC,0.566331801616226,1,0.947596260497544,1,0.566331801616226,1,0.584661701790524,1,0.584661701790524,1,0.963238789415307,1,0,0,0.967282522579623,1,0.998288702265885,1,0.99444778957376,1,0.987158928854381,1,0,0
US-LL3,SAV,31.2688,-84.4787,159.5,20,1310,Cfa,-5,9,SC,FC+SC,0.5090857233402,1,0.94979559499287,1,0.5090857233402,1,0.495648867057519,1,0.495648867057519,1,0.968733956583743,1,0,0,0.980972904452543,1,0.998871811123435,1,0.992090001584535,1,0.99738234828078,1,0,0
US-Los,WET,46.0827,-89.9792,480,4.08,828,Dfb,-6,21,-9999,NEE,0.363778081953678,1,0,0,0.489878003737018,1,0.56427345413462,1,0.627590926867423,1,0.650260179029244,1,0.662720527527919,1,0.668293464563508,1,0,0,0.664235975318298,1,0,0,0.651699582844479,1
US-LPH,DBF,42.5419,-72.185,377.5,6.73,1071,Dfb,-5,4,-9999,NEE,0.217972849646361,1,0,0,0.622903832991102,1,0.356790440337668,1,0.366544033766826,1,0.64731633584303,1,0.121720282911248,0.5,0.766897672826831,1,0.124172940908054,0.5,0.646902806297057,1,0,0,0.763789071412275,1
US-LS1,GRA,31.5615,-110.1403,1230,17,288,Bwh,-7,6,negligible,FC+SC,0.405250696511263,1,1,1,0.405250696511263,1,0.713503285251077,1,0.764593456122168,1,0.794232030960282,1,0.790751851816635,1,0.811271596603497,1,0.795258969068244,1,0.8004887464699,1,0,0,0.811271596603497,1
US-LS2,SAV,31.5659,-110.1344,1240,17,288,Bwh,-7,6,negligible,FC+SC,0.449171317998992,1,1,1,0.449171317998992,1,0.699706181596889,1,0.746089552806489,1,0.784323979955689,1,0.787870719902631,1,0.794193996215543,1,0.794193996215543,1,0.785236813829433,1,0,0,0.441117460800441,1
US-MBP,WET,47.5051,-93.4893,416,3.4,780,-9999,-5,11,negligible,FC+SC,0.28043834536553,1,1,1,0.28043834536553,1,0.320279437391088,1,0.355810721101983,1,0.89535619450668,1,0,0,0.979778649074766,1,0.975712596465024,1,0.89535619450668,1,0,0,0.0875757198572732,1
US-Me2,ENF,44.4523,-121.5574,1253,6.28,523,Csb,-8,19,-9999,NEE,0.276515970220941,1,0,0,0.83953230067243,1,0.82623679154659,1,0.863112391930836,1,0.890637007684918,1,0.938076368876081,1,0.974312560038425,1,0.955580571565802,1,0.940078650336215,1,0.975876560999039,1,0.977638688760807,1
US-Me3,ENF,44.3154,-121.6078,1005,7.07,719,Csb,-8,6,-9999,NEE,0.362568430656934,1,0,0,0.956147354014598,1,0.70149977189781,1,0.716659063260341,1,0.815066149635037,1,0.790877813260341,1,0.822546000608273,1,0.804088731751825,1,0.815674422141119,1,0.952108044403893,1,0.380436435523114,1
