site,start,end,htower
US-Whs,all,200805291200,3.2
US-Whs,200805291200,all,6.5
US-Wi0,all,all,6
US-Wi1,all,all,9
US-Wi3,all,all,26
US-Wi4,all,all,23
US-Wi5,all,all,6
US-Wi6,all,all,3
US-Wi8,all,all,3
US-Wi9,all,all,9
US-Wjs,all,all,8
US-Wkg,all,200502280000,3.2
US-Wkg,200502280000,all,6.4
US-Wrc,all,all,70
VU-Coc,all,all,22
ZA-Kru,all,all,16
ZA-Map,all,all,7
ZM-Mkt,all,all,31.2
ZM-Mon,all,all,16
US-WPT,all,all,2
US-CRT,all,all,2
US-MMS,all,all,46
US-ARM,all,all,4.28
PA-SPn,all,all,15
PA-SPs,all,all,3
US-Tw4,all,all,5.35
US-Wi2,all,all,9
US-Wi7,all,all,6
US-An1,all,all,2.72
US-An2,all,all,2.7
US-An3,all,all,2.5
US-Dk1,all,all,2.8
US-Dk2,all,all,39.8
US-Dk3,all,all,20.2
US-Elm,all,all,3.3
US-FR3,all,all,14
US-MRf,all,all,38.3
US-NMj,all,all,12
US-SFP,all,all,7
US-Skr,all,all,27
US-SP4,all,all,14
US-CPk,all,all,17.7
US-Upa,all,all,2
US-WBW,all,all,36.9
US-Wdn,all,all,3
US-Wlr,all,all,2.1
US-SP3,all,200205080000,15
US-SP3,200205080000,200306070000,18
US-SP3,200306070000,200706010000,21
US-SP3,200706010000,all,24.4
US-SuM,all,201307301430,3.94
US-SuM,201307301430,all,5.2
US-SuS,all,201109080000,3.37
US-SuS,201109080000,201111020530,4.96
US-SuS,201111020530,201112010930,5.13
US-SuS,201112010930,201205020730,5.42
US-SuS,201205020730,all,5.82
US-SuW,all,201108260730,3.37
US-SuW,201108260730,201110280000,4.13
US-SuW,201110280000,201112010930,4.66
US-SuW,201112010930,201205020830,5.17
US-SuW,201205020830,201211051230,5.74
US-SuW,201211051230,all,6.18
US-Ro1,200401010000,200507130000,2.1
US-Ro1,200507130000,200507190000,2.72
US-Ro1,200507190000,200510280000,3.6
US-Ro1,200510280000,200601010000,2.05
US-Ro1,200601010000,200706270000,2.05
US-Ro1,200706270000,200707050000,2.97
US-Ro1,200707050000,200707110000,3.24
US-Ro1,200707110000,200710110000,3.58
US-Ro1,200710110000,200801010000,1.92
US-Ro1,200801010000,200907090000,1.92
US-Ro1,200907090000,200907170000,2.75
US-Ro1,200907170000,200911170000,3.3
US-Ro1,200911170000,201001010000,2.02
US-Ro1,201001010000,201107110000,2.02
US-Ro1,201107110000,201107210000,2.85
US-Ro1,201107210000,201110260000,3.42
US-Ro1,201110260000,201201010000,2.05
US-Ro1,201201010000,201301010000,2.05
US-Ro3,200401010000,200507140000,2.1
US-Ro3,200507140000,200507190000,3.05
US-Ro3,200507190000,200507260000,3.46
US-Ro3,200507260000,200510240000,3.6
US-Ro3,200510240000,200601010000,2.1
US-Ro3,200601010000,all,2.1
